name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
ikarijp|Ikari Warriors (Japan)|clone|snk/snk.cpp|270|288|216|60.000000||ikari||SNK
ikarijpb|Ikari Warriors (Japan bootleg)|clone|snk/snk.cpp|270|288|216|60.000000||ikari||
imgfight|Image Fight (Japan)|parent|irem/m72.cpp|270|384|256|55.017606||||Irem\M72
imsorry|I'm Sorry (US)|parent|sega/system1.cpp|0|512|224|60.096154||||Coreland/Sega
imsorryj|I'm Sorry (Japan)|clone|sega/system1.cpp|0|512|224|60.096154||imsorry||Coreland/Sega
indyheat|Danny Sullivan's Indy Heat|parent|cinematronics/leland.cpp|0|320|240|60.000000||||Leland
indytem2|Indiana Jones and the Temple of Doom (set 2)|clone|atari/atarisy1.cpp|0|336|240|59.922743||indytemp||Atari
indytem3|Indiana Jones and the Temple of Doom (set 3)|clone|atari/atarisy1.cpp|0|336|240|59.922743||indytemp||Atari
indytem4|Indiana Jones and the Temple of Doom (set 4)|clone|atari/atarisy1.cpp|0|336|240|59.922743||indytemp||Atari
indytemp|Indiana Jones and the Temple of Doom (set 1)|parent|atari/atarisy1.cpp|0|336|240|59.922743||||Atari
inferno|Inferno|parent|midway/williams.cpp|0|276|240|60.096154||||Williams
insector|Insector (prototype)|parent|gottlieb/gottlieb.cpp|0|256|240|61.419025||||Gottlieb
insectx|Insector X (World)|parent|taito/tnzs.cpp|0|256|224|60.000000||||Taito
inthunt|In The Hunt (World)|parent|irem/m92.cpp|0|320|240|60.000000||||Irem\M92
inthuntu|In The Hunt (US)|clone|irem/m92.cpp|0|320|240|60.000000||inthunt||Irem\M92
intrepi2|Intrepid (set 2)|clone|thepit/thepit.cpp|90|256|224|60.606061||intrepid||Nova Games
intrepid|Intrepid (set 1)|parent|thepit/thepit.cpp|90|256|224|60.606061||||Nova Games
invad2ct|Space Invaders II (Midway, cocktail)|parent|midw8080/mw8080bw.cpp|90|260|224|59.541985||||Midway
invaddlx|Space Invaders Deluxe|clone|midw8080/8080bw.cpp|270|260|224|59.541985||invadpt2||Midway
invaderl|Space Invaders (Logitec)|clone|midw8080/8080bw.cpp|270|260|224|59.541985||invaders||
invaders|Space Invaders|parent|midw8080/mw8080bw.cpp|270|260|224|59.541985||||Midway
invadpt2|Space Invaders Part II (Taito)|parent|midw8080/8080bw.cpp|270|260|224|59.541985||||Taito
invds|Invinco / Deep Scan|parent|sega/vicdual.cpp|270|256|224|60.000000||||Sega
invho2|Invinco / Head On 2|parent|sega/vicdual.cpp|270|256|224|60.000000||||Sega
invinco|Invinco|parent|sega/vicdual.cpp|270|256|224|60.000000||||Sega
invrvnga|Invader's Revenge (Dutchford)|clone|midw8080/8080bw.cpp|270|260|224|59.541985||invrvnge||Dutchford/Zenitone Microsec
invrvnge|Invader's Revenge|parent|midw8080/8080bw.cpp|270|260|224|59.541985||||Zenitone Microsec
irobot|I, Robot|parent|atari/irobot.cpp|0|256|232|60.000000||||Atari
ironhors|Iron Horse|parent|konami/ironhors.cpp|0|240|224|61.049285||||Konami
irrmaze|The Irritating Maze / Ultra Denryu Iraira Bou|parent|neogeo/neogeo.cpp|0|320|224|59.185606|neogeo|||neogeo/Saurus/SNK
jack|Jack the Giantkiller (set 1)|parent|cinematronics/jack.cpp|90|256|224|59.185606||||Cinematronics
jack2|Jack the Giantkiller (set 2)|clone|cinematronics/jack.cpp|90|256|224|59.185606||jack||Cinematronics
jack3|Jack the Giantkiller (set 3)|clone|cinematronics/jack.cpp|90|256|224|59.185606||jack||Cinematronics
jackal|Jackal (World)|parent|konami/jackal.cpp|90|240|224|60.000000||||Konami
jackalj|Tokushu Butai Jackal (Japan)|clone|konami/jackal.cpp|90|240|224|60.000000||jackal||Konami
jackrab2|Jack Rabbit (set 2)|clone|zaccaria/zaccaria.cpp|90|256|224|60.606061||jackrabt||Zaccaria
jackrabs|Jack Rabbit (special)|clone|zaccaria/zaccaria.cpp|90|256|224|60.606061||jackrabt||Zaccaria
